id,imgUrl,productURL,stars,reviews,price
10,https://m.media-amazon.com/images/I/81Ln3z3EWeL._SX679_.jpg,https://amzn.in/d/8Eh5K9M,4.3,26,4999
10,https://m.media-amazon.com/images/I/31vxY--vD4L._SY300_SX300_.jpg,https://amzn.in/d/aYgMDid,4.3,420,"1,995"
10,https://m.media-amazon.com/images/I/51Ec8S007kL._SX679_.jpg,https://amzn.in/d/a27S956,4.2,450,849
11,https://m.media-amazon.com/images/I/51imDGjXEOL._SY500_.jpg,https://amzn.in/d/djXQgaM,4.6,17,408
11,https://m.media-amazon.com/images/I/514NelyQZ0L._SY575_.jpg,https://amzn.in/d/iNa79hv,3.8,1133,899
11,https://m.media-amazon.com/images/I/71RR6We7INL._SY695_.jpg,https://amzn.in/d/1f0wR7X,4,10,649
11,https://m.media-amazon.com/images/I/61wV4pfQ9JL._SY575_.jpg,https://amzn.in/d/eGTosJD,3.4,1100,499
11,https://m.media-amazon.com/images/I/61R-utkTe-L._SY500_.jpg,https://amzn.in/d/4wEfr4X,4.4,1238,499
12,https://m.media-amazon.com/images/I/61lZBrFzHIL._SY679_.jpg,https://amzn.in/d/iYLK3HV,4.3,364,580
12,https://m.media-amazon.com/images/I/61djJDKwm5L._SY679_.jpg,https://amzn.in/d/6o1ophE,3.4,893,599
12,https://m.media-amazon.com/images/I/61rb0KFegyL._SY679_.jpg,https://amzn.in/d/g2o23pU,4.6,47,599
12,https://m.media-amazon.com/images/I/518XYm80EbL._SY679_.jpg,https://amzn.in/d/6R3v5g4,4.3,196,549
12,https://m.media-amazon.com/images/I/71Ab67gNGBL._SY679_.jpg,https://amzn.in/d/4rk2frt,3.5,46,649
13,https://m.media-amazon.com/images/I/71AnYSyWDML._SY679_.jpg,https://amzn.in/d/hxGDZr0,4.4,10,"1,799"
13,https://m.media-amazon.com/images/I/61xf9zQ9IZL._SY679_.jpg,https://amzn.in/d/cr6pHEu,4.3,92,699
13,https://m.media-amazon.com/images/I/61NsT+zK23L._SY679_.jpg,https://amzn.in/d/iql0kmm,4.5,188,699
13,https://m.media-amazon.com/images/I/61gwRA+dD-L._SY679_.jpg,https://amzn.in/d/fUWGBYa,4.9,35,699
13,https://m.media-amazon.com/images/I/71I0uvD1h5L._SX679_.jpg,https://amzn.in/d/6zreirq,5,100,"1,199"
14,https://m.media-amazon.com/images/I/21-blaDZp3L._SX300_SY300_QL70_FMwebp_.jpg,https://amzn.in/d/2DB2fx9,4.2,97516,2199
14,https://m.media-amazon.com/images/I/413GC6V5e4L._SX300_SY300_QL70_FMwebp_.jpg,https://amzn.in/d/3BDw8fE,3.9,874,"1,999"
14,https://m.media-amazon.com/images/I/31hAHDo-WzL._SX300_SY300_QL70_FMwebp_.jpg,https://amzn.in/d/cHNNpgu,3.8,612,1499
14,https://m.media-amazon.com/images/I/31LByLL2qWL._SX300_SY300_QL70_FMwebp_.jpg,https://amzn.in/d/2UpAXR9,4.2,1797,"1,799"
14,https://m.media-amazon.com/images/I/31hmY72TD9L._SX300_SY300_QL70_FMwebp_.jpg,https://amzn.in/d/icBLNKY,4.2,210,1399
15,https://m.media-amazon.com/images/I/81rDfnNENhL._SL1500_.jpg,https://amzn.in/d/i0dzBqW,4,34,"12,999"
15,https://m.media-amazon.com/images/I/51m19M40R6L._SY300_SX300_QL70_FMwebp_.jpg,https://amzn.in/d/eQ5JyFP,4,4480,"12,999"
15,https://m.media-amazon.com/images/I/41h1ONPpYtL._SY300_SX300_QL70_FMwebp_.jpg,https://amzn.in/d/79ezMLd,3.9,3620,"16,499"
15,https://m.media-amazon.com/images/I/41r06BSqnIL._SX300_SY300_QL70_FMwebp_.jpg,https://amzn.in/d/7YTgGr1,4.2,14,"18,999"
15,https://m.media-amazon.com/images/I/41dOG2wlcdL._SY300_SX300_QL70_FMwebp_.jpg,https://amzn.in/d/2tC9YDv,4.6,543,"40,990"
16,https://m.media-amazon.com/images/I/416isonjX7L._SX300_SY300_QL70_FMwebp_.jpg,https://amzn.in/d/cMVcIjf,4,208661,"1,099"
16,https://m.media-amazon.com/images/I/31ruykGprCL._SX300_SY300_QL70_FMwebp_.jpg,https://amzn.in/d/ffQdfMl,3.9,17902,999
16,https://m.media-amazon.com/images/I/51ygf8SX3OL._SL1500_.jpg,https://amzn.in/d/4B7cmPb,3.9,324,"1,499"
16,https://m.media-amazon.com/images/I/41lk9rn1q-L._SX300_SY300_QL70_FMwebp_.jpg,https://amzn.in/d/j8B4S1B,4,308660,"1,299"
16,https://m.media-amazon.com/images/I/41AHGF9uhrL._SX300_SY300_QL70_FMwebp_.jpg,https://amzn.in/d/2IoMPzA,3.6,3082,399
